Numer pomiaru, q1, q2, q3, x, y, z, u1, u2, u3
1, 0.000000, -1.570000, -0.300000, 0.100480, 0.000000, -0.036417, -0.000000, 0.092667, -0.007311
2, 0.000000, -1.490000, -0.300000, 0.112979, 0.000000, -0.027874, 0.000000, 0.096046, -0.005393
3, 0.000000, -1.410000, -0.300000, 0.124754, 0.000000, -0.018359, 0.000000, 0.098811, -0.003441
4, 0.000000, -1.330000, -0.300000, 0.135732, 0.000000, -0.007934, 0.000000, 0.100944, -0.001467
5, 0.000000, -1.250000, -0.300000, 0.145841, 0.000000, 0.003335, 0.000000, 0.102431, 0.000516
6, 0.000000, -1.170000, -0.300000, 0.155018, 0.000000, 0.015375, -0.000000, 0.103263, 0.002496
7, 0.000000, -1.090000, -0.300000, 0.163203, 0.000000, 0.028111, 0.000000, 0.103434, 0.004460
8, 0.000000, -1.010000, -0.300000, 0.170344, 0.000000, 0.041460, -0.000000, 0.102944, 0.006395
9, 0.000000, -0.930000, -0.300000, 0.176395, 0.000000, 0.055337, -0.000000, 0.101795, 0.008290
10, 0.000000, -0.850000, -0.300000, 0.181318, 0.000000, 0.069653, 0.000000, 0.099995, 0.010131
11, 0.000000, -0.770000, -0.300000, 0.185081, 0.000000, 0.084317, 0.000000, 0.097556, 0.011908
12, 0.000000, -0.690000, -0.300000, 0.187660, 0.000000, 0.099235, 0.000000, 0.094492, 0.013609
13, 0.000000, -0.610000, -0.300000, 0.189039, 0.000000, 0.114311, 0.000000, 0.090824, 0.015222
14, 0.000000, -0.530000, -0.300000, 0.189209, 0.000000, 0.129449, 0.000000, 0.086575, 0.016738
15, 0.000000, -0.450000, -0.300000, 0.188169, 0.000000, 0.144552, -0.000000, 0.081772, 0.018147
16, 0.000000, -0.370000, -0.300000, 0.185924, 0.000000, 0.159523, 0.000000, 0.076447, 0.019440
17, 0.000000, -0.290000, -0.300000, 0.182491, 0.000000, 0.174268, 0.000000, 0.070632, 0.020609
18, 0.000000, -0.210000, -0.300000, 0.177890, 0.000000, 0.188691, 0.000000, 0.064365, 0.021646
19, 0.000000, -0.130000, -0.300000, 0.172151, 0.000000, 0.202700, 0.000000, 0.057687, 0.022544
20, 0.000000, -0.050000, -0.300000, 0.165311, 0.000000, 0.216206, -0.000000, 0.050640, 0.023298
21, 0.000000, 0.030000, -0.300000, 0.157414, 0.000000, 0.229122, -0.000000, 0.043268, 0.023903
22, 0.000000, 0.110000, -0.300000, 0.148510, 0.000000, 0.241365, 0.000000, 0.035620, 0.024356
23, 0.000000, 0.190000, -0.300000, 0.138656, 0.000000, 0.252858, -0.000000, 0.027744, 0.024652
24, 0.000000, 0.270000, -0.300000, 0.127915, 0.000000, 0.263526, 0.000000, 0.019691, 0.024791
25, 0.000000, 0.350000, -0.300000, 0.116355, 0.000000, 0.273302, 0.000000, 0.011512, 0.024771
26, 0.000000, 0.430000, -0.300000, 0.104052, 0.000000, 0.282123, -0.000000, 0.003259, 0.024593
27, 0.000000, 0.510000, -0.300000, 0.091083, 0.000000, 0.289933, 0.000000, -0.005015, 0.024257
28, 0.000000, 0.590000, -0.300000, 0.077531, 0.000000, 0.296681, 0.000000, -0.013257, 0.023766
29, 0.000000, 0.670000, -0.300000, 0.063483, 0.000000, 0.302325, -0.000000, -0.021414, 0.023123
30, 0.000000, 0.750000, -0.300000, 0.049029, 0.000000, 0.306828, 0.000000, -0.029434, 0.022333
31, 0.000000, 0.830000, -0.300000, 0.034262, 0.000000, 0.310161, -0.000000, -0.037265, 0.021399
32, 0.000000, 0.910000, -0.300000, 0.019275, 0.000000, 0.312304, 0.000000, -0.044858, 0.020329
33, 0.000000, 0.990000, -0.300000, 0.004165, 0.000000, 0.313242, 0.000000, -0.052165, 0.019128
34, 0.000000, 1.070000, -0.300000, -0.010971, -0.000000, 0.312969, 0.000000, -0.059137, 0.017806
35, 0.000000, 1.150000, -0.300000, -0.026037, -0.000000, 0.311488, -0.000000, -0.065732, 0.016369
36, 0.000000, 1.230000, -0.300000, -0.040937, -0.000000, 0.308808, -0.000000, -0.071906, 0.014827
37, 0.000000, 1.310000, -0.300000, -0.055575, -0.000000, 0.304945, -0.000000, -0.077620, 0.013191
38, 0.000000, 1.390000, -0.300000, -0.069858, -0.000000, 0.299925, -0.000000, -0.082837, 0.011470
39, 0.000000, 1.470000, -0.300000, -0.083693, -0.000000, 0.293780, 0.000000, -0.087525, 0.009676
40, 0.000000, 1.550000, -0.300000, -0.096993, -0.000000, 0.286549, -0.000000, -0.091653, 0.007821
