Numer pomiaru, q1, q2, q3, x, y, z, u1, u2, u3
1, 0.000000, -1.570000, 1.000000, 0.291439, 0.000000, 0.033461, 0.000000, 0.120858, 0.020881
2, 0.000000, -1.490000, 1.000000, 0.297743, 0.000000, 0.057041, -0.000000, 0.123323, 0.021883
3, 0.000000, -1.410000, 1.000000, 0.302141, 0.000000, 0.081049, -0.000000, 0.124999, 0.022746
4, 0.000000, -1.330000, 1.000000, 0.304607, 0.000000, 0.105332, 0.000000, 0.125875, 0.023464
5, 0.000000, -1.250000, 1.000000, 0.305125, 0.000000, 0.129735, 0.000000, 0.125946, 0.024031
6, 0.000000, -1.170000, 1.000000, 0.303691, 0.000000, 0.154100, -0.000000, 0.125212, 0.024444
7, 0.000000, -1.090000, 1.000000, 0.300314, 0.000000, 0.178273, 0.000000, 0.123676, 0.024701
8, 0.000000, -1.010000, 1.000000, 0.295016, 0.000000, 0.202099, -0.000000, 0.121349, 0.024801
9, 0.000000, -0.930000, 1.000000, 0.287832, 0.000000, 0.225426, 0.000000, 0.118247, 0.024741
10, 0.000000, -0.850000, 1.000000, 0.278806, 0.000000, 0.248103, 0.000000, 0.114387, 0.024523
11, 0.000000, -0.770000, 1.000000, 0.267996, 0.000000, 0.269987, -0.000000, 0.109796, 0.024149
12, 0.000000, -0.690000, 1.000000, 0.255473, 0.000000, 0.290937, -0.000000, 0.104503, 0.023620
13, 0.000000, -0.610000, 1.000000, 0.241315, 0.000000, 0.310819, -0.000000, 0.098542, 0.022939
14, 0.000000, -0.530000, 1.000000, 0.225613, 0.000000, 0.329506, -0.000000, 0.091950, 0.022113
15, 0.000000, -0.450000, 1.000000, 0.208469, 0.000000, 0.346879, -0.000000, 0.084769, 0.021144
16, 0.000000, -0.370000, 1.000000, 0.189991, 0.000000, 0.362825, 0.000000, 0.077047, 0.020041
17, 0.000000, -0.290000, 1.000000, 0.170298, 0.000000, 0.377245, 0.000000, 0.068832, 0.018809
18, 0.000000, -0.210000, 1.000000, 0.149515, 0.000000, 0.390044, 0.000000, 0.060176, 0.017457
19, 0.000000, -0.130000, 1.000000, 0.127776, 0.000000, 0.401142, 0.000000, 0.051136, 0.015993
20, 0.000000, -0.050000, 1.000000, 0.105220, 0.000000, 0.410466, 0.000000, 0.041768, 0.014427
21, 0.000000, 0.030000, 1.000000, 0.081990, 0.000000, 0.417959, 0.000000, 0.032133, 0.012768
22, 0.000000, 0.110000, 1.000000, 0.058236, 0.000000, 0.423571, -0.000000, 0.022293, 0.011028
23, 0.000000, 0.190000, 1.000000, 0.034110, 0.000000, 0.427267, -0.000000, 0.012310, 0.009218
24, 0.000000, 0.270000, 1.000000, 0.009765, 0.000000, 0.429023, -0.000000, 0.002249, 0.007348
25, 0.000000, 0.350000, 1.000000, -0.014642, -0.000000, 0.428827, 0.000000, -0.007827, 0.005432
26, 0.000000, 0.430000, 1.000000, -0.038955, -0.000000, 0.426682, -0.000000, -0.017853, 0.003480
27, 0.000000, 0.510000, 1.000000, -0.063019, -0.000000, 0.422601, 0.000000, -0.027765, 0.001507
28, 0.000000, 0.590000, 1.000000, -0.086680, -0.000000, 0.416610, 0.000000, -0.037499, -0.000476
29, 0.000000, 0.670000, 1.000000, -0.109787, -0.000000, 0.408747, -0.000000, -0.046993, -0.002456
30, 0.000000, 0.750000, 1.000000, -0.132191, -0.000000, 0.399063, 0.000000, -0.056187, -0.004421
31, 0.000000, 0.830000, 1.000000, -0.153750, -0.000000, 0.387619, -0.000000, -0.065021, -0.006357
32, 0.000000, 0.910000, 1.000000, -0.174325, -0.000000, 0.374489, -0.000000, -0.073440, -0.008252
33, 0.000000, 0.990000, 1.000000, -0.193786, -0.000000, 0.359757, 0.000000, -0.081388, -0.010095
34, 0.000000, 1.070000, 1.000000, -0.212006, -0.000000, 0.343517, -0.000000, -0.088816, -0.011873
35, 0.000000, 1.150000, 1.000000, -0.228871, -0.000000, 0.325872, -0.000000, -0.095676, -0.013575
36, 0.000000, 1.230000, 1.000000, -0.244271, -0.000000, 0.306936, -0.000000, -0.101924, -0.015191
37, 0.000000, 1.310000, 1.000000, -0.258109, -0.000000, 0.286830, 0.000000, -0.107520, -0.016709
38, 0.000000, 1.390000, 1.000000, -0.270296, -0.000000, 0.265683, -0.000000, -0.112428, -0.018120
39, 0.000000, 1.470000, 1.000000, -0.280754, -0.000000, 0.243629, 0.000000, -0.116617, -0.019416
40, 0.000000, 1.550000, 1.000000, -0.289417, -0.000000, 0.220810, 0.000000, -0.120060, -0.020587
