Numer pomiaru, q1, q2, q3, x, y, z, u1, u2, u3
1, 0.000000, 1.000000, -1.570000, 0.015219, 0.000000, 0.114387, 0.000312, 0.004618, 0.018977
2, 0.000000, 1.000000, -1.490000, 0.022011, 0.000000, 0.125980, -0.000000, -0.050145, 0.021884
3, 0.000000, 1.000000, -1.410000, 0.027856, 0.000000, 0.138079, 0.000000, -0.049278, 0.022746
4, 0.000000, 1.000000, -1.330000, 0.032714, 0.000000, 0.150606, 0.000000, -0.048561, 0.023464
5, 0.000000, 1.000000, -1.250000, 0.036557, 0.000000, 0.163482, -0.000000, -0.047994, 0.024031
6, 0.000000, 1.000000, -1.170000, 0.039358, 0.000000, 0.176623, 0.000000, -0.047581, 0.024444
7, 0.000000, 1.000000, -1.090000, 0.041099, 0.000000, 0.189946, -0.000000, -0.047324, 0.024701
8, 0.000000, 1.000000, -1.010000, 0.041771, 0.000000, 0.203365, -0.000000, -0.047224, 0.024801
9, 0.000000, 1.000000, -0.930000, 0.041368, 0.000000, 0.216796, -0.000000, -0.047284, 0.024741
10, 0.000000, 1.000000, -0.850000, 0.039893, 0.000000, 0.230151, 0.000000, -0.047502, 0.024523
11, 0.000000, 1.000000, -0.770000, 0.037355, 0.000000, 0.243346, 0.000000, -0.047876, 0.024149
12, 0.000000, 1.000000, -0.690000, 0.033771, 0.000000, 0.256295, 0.000000, -0.048405, 0.023620
13, 0.000000, 1.000000, -0.610000, 0.029164, 0.000000, 0.268917, 0.000000, -0.049086, 0.022939
14, 0.000000, 1.000000, -0.530000, 0.023563, 0.000000, 0.281130, 0.000000, -0.049913, 0.022113
15, 0.000000, 1.000000, -0.450000, 0.017003, 0.000000, 0.292857, -0.000000, -0.050881, 0.021144
16, 0.000000, 1.000000, -0.370000, 0.009528, 0.000000, 0.304022, 0.000000, -0.051984, 0.020041
17, 0.000000, 1.000000, -0.290000, 0.001184, 0.000000, 0.314553, -0.000000, -0.053216, 0.018809
18, 0.000000, 1.000000, -0.210000, -0.007975, -0.000000, 0.324385, -0.000000, -0.054568, 0.017457
19, 0.000000, 1.000000, -0.130000, -0.017890, -0.000000, 0.333453, -0.000000, -0.056032, 0.015993
20, 0.000000, 1.000000, -0.050000, -0.028498, -0.000000, 0.341699, 0.000000, -0.057598, 0.014427
21, 0.000000, 1.000000, 0.030000, -0.039731, -0.000000, 0.349072, -0.000000, -0.059257, 0.012768
22, 0.000000, 1.000000, 0.110000, -0.051518, -0.000000, 0.355523, -0.000000, -0.060997, 0.011028
23, 0.000000, 1.000000, 0.190000, -0.063782, -0.000000, 0.361011, -0.000000, -0.062807, 0.009218
24, 0.000000, 1.000000, 0.270000, -0.076445, -0.000000, 0.365502, -0.000000, -0.064677, 0.007348
25, 0.000000, 1.000000, 0.350000, -0.089428, -0.000000, 0.368967, -0.000000, -0.066593, 0.005432
26, 0.000000, 1.000000, 0.430000, -0.102645, -0.000000, 0.371383, 0.000000, -0.068545, 0.003480
27, 0.000000, 1.000000, 0.510000, -0.116013, -0.000000, 0.372735, 0.000000, -0.070518, 0.001507
28, 0.000000, 1.000000, 0.590000, -0.129447, -0.000000, 0.373014, 0.000000, -0.072501, -0.000476
29, 0.000000, 1.000000, 0.670000, -0.142860, -0.000000, 0.372219, -0.000000, -0.074481, -0.002456
30, 0.000000, 1.000000, 0.750000, -0.156166, -0.000000, 0.370355, 0.000000, -0.076446, -0.004421
31, 0.000000, 1.000000, 0.830000, -0.169281, -0.000000, 0.367433, -0.000000, -0.078382, -0.006357
32, 0.000000, 1.000000, 0.910000, -0.182120, -0.000000, 0.363473, 0.000000, -0.080278, -0.008252
33, 0.000000, 1.000000, 0.990000, -0.194602, -0.000000, 0.358499, 0.000000, -0.082120, -0.010095
34, 0.000000, 1.000000, 1.070000, -0.206647, -0.000000, 0.352543, 0.000000, -0.083898, -0.011873
35, 0.000000, 1.000000, 1.150000, -0.218177, -0.000000, 0.345644, -0.000000, -0.085601, -0.013575
36, 0.000000, 1.000000, 1.230000, -0.229119, -0.000000, 0.337846, 0.000000, -0.087216, -0.015191
37, 0.000000, 1.000000, 1.310000, -0.239402, -0.000000, 0.329198, 0.000000, -0.088734, -0.016709
38, 0.000000, 1.000000, 1.390000, -0.248962, -0.000000, 0.319756, -0.000000, -0.090145, -0.018120
39, 0.000000, 1.000000, 1.470000, -0.257736, -0.000000, 0.309581, 0.000000, -0.091441, -0.019416
40, 0.000000, 1.000000, 1.550000, -0.265670, -0.000000, 0.298736, -0.000000, -0.092612, -0.020587
