Numer pomiaru, q1, q2, q3, x, y, z, u1, u2, u3
1, 0.000000, -1.000000, -1.570000, -0.015074, -0.000000, 0.114162, -0.000268, 0.027570, -0.019237
2, 0.000000, -1.000000, -1.490000, -0.007359, -0.000000, 0.103161, -0.000000, 0.076481, -0.019720
3, 0.000000, -1.000000, -1.410000, 0.001210, 0.000000, 0.092812, 0.000000, 0.077752, -0.018455
4, 0.000000, -1.000000, -1.330000, 0.010579, 0.000000, 0.083181, -0.000000, 0.079129, -0.017072
5, 0.000000, -1.000000, -1.250000, 0.020687, 0.000000, 0.074329, -0.000000, 0.080622, -0.015580
6, 0.000000, -1.000000, -1.170000, 0.031471, 0.000000, 0.066313, -0.000000, 0.082214, -0.013988
7, 0.000000, -1.000000, -1.090000, 0.042861, 0.000000, 0.059185, 0.000000, 0.083895, -0.012306
8, 0.000000, -1.000000, -1.010000, 0.054784, 0.000000, 0.052990, 0.000000, 0.085656, -0.010546
9, 0.000000, -1.000000, -0.930000, 0.067164, 0.000000, 0.047768, -0.000000, 0.087483, -0.008719
10, 0.000000, -1.000000, -0.850000, 0.079922, 0.000000, 0.043551, -0.000000, 0.089367, -0.006835
11, 0.000000, -1.000000, -0.770000, 0.092975, 0.000000, 0.040368, 0.000000, 0.091294, -0.004908
12, 0.000000, -1.000000, -0.690000, 0.106242, 0.000000, 0.038238, 0.000000, 0.093252, -0.002949
13, 0.000000, -1.000000, -0.610000, 0.119636, 0.000000, 0.037174, 0.000000, 0.095230, -0.000972
14, 0.000000, -1.000000, -0.530000, 0.133073, 0.000000, 0.037185, 0.000000, 0.097213, 0.001012
15, 0.000000, -1.000000, -0.450000, 0.146465, 0.000000, 0.038270, -0.000000, 0.099191, 0.002989
16, 0.000000, -1.000000, -0.370000, 0.159728, 0.000000, 0.040421, 0.000000, 0.101149, 0.004947
17, 0.000000, -1.000000, -0.290000, 0.172777, 0.000000, 0.043625, 0.000000, 0.103075, 0.006873
18, 0.000000, -1.000000, -0.210000, 0.185528, 0.000000, 0.047862, 0.000000, 0.104957, 0.008756
19, 0.000000, -1.000000, -0.130000, 0.197900, 0.000000, 0.053104, -0.000000, 0.106784, 0.010582
20, 0.000000, -1.000000, -0.050000, 0.209813, 0.000000, 0.059318, 0.000000, 0.108543, 0.012341
21, 0.000000, -1.000000, 0.030000, 0.221191, 0.000000, 0.066465, -0.000000, 0.110222, 0.014020
22, 0.000000, -1.000000, 0.110000, 0.231962, 0.000000, 0.074497, -0.000000, 0.111812, 0.015611
23, 0.000000, -1.000000, 0.190000, 0.242056, 0.000000, 0.083365, -0.000000, 0.113303, 0.017101
24, 0.000000, -1.000000, 0.270000, 0.251410, 0.000000, 0.093011, 0.000000, 0.114684, 0.018482
25, 0.000000, -1.000000, 0.350000, 0.259963, 0.000000, 0.103374, 0.000000, 0.115946, 0.019744
26, 0.000000, -1.000000, 0.430000, 0.267660, 0.000000, 0.114387, 0.000000, 0.117083, 0.020881
27, 0.000000, -1.000000, 0.510000, 0.274453, 0.000000, 0.125980, -0.000000, 0.118085, 0.021883
28, 0.000000, -1.000000, 0.590000, 0.280297, 0.000000, 0.138079, -0.000000, 0.118948, 0.022746
29, 0.000000, -1.000000, 0.670000, 0.285156, 0.000000, 0.150606, -0.000000, 0.119665, 0.023464
30, 0.000000, -1.000000, 0.750000, 0.288998, 0.000000, 0.163482, -0.000000, 0.120233, 0.024031
31, 0.000000, -1.000000, 0.830000, 0.291799, 0.000000, 0.176623, 0.000000, 0.120646, 0.024444
32, 0.000000, -1.000000, 0.910000, 0.293541, 0.000000, 0.189946, -0.000000, 0.120903, 0.024701
33, 0.000000, -1.000000, 0.990000, 0.294212, 0.000000, 0.203365, -0.000000, 0.121002, 0.024801
34, 0.000000, -1.000000, 1.070000, 0.293809, 0.000000, 0.216796, 0.000000, 0.120943, 0.024741
35, 0.000000, -1.000000, 1.150000, 0.292334, 0.000000, 0.230151, -0.000000, 0.120725, 0.024523
36, 0.000000, -1.000000, 1.230000, 0.289797, 0.000000, 0.243346, -0.000000, 0.120351, 0.024149
37, 0.000000, -1.000000, 1.310000, 0.286213, 0.000000, 0.256295, -0.000000, 0.119821, 0.023620
38, 0.000000, -1.000000, 1.390000, 0.281605, 0.000000, 0.268917, 0.000000, 0.119141, 0.022939
39, 0.000000, -1.000000, 1.470000, 0.276004, 0.000000, 0.281130, 0.000000, 0.118315, 0.022113
40, 0.000000, -1.000000, 1.550000, 0.269445, 0.000000, 0.292857, 0.000000, 0.117348, 0.021144
