Numer pomiaru, q1, q2, q3, x, y, z, u1, u2, u3
1, 0.000000, -1.570000, 0.300000, 0.199775, 0.000000, -0.036337, 0.000000, 0.107326, 0.007348
2, 0.000000, -1.490000, 0.300000, 0.211950, 0.000000, -0.019860, -0.000000, 0.110657, 0.009218
3, 0.000000, -1.410000, 0.300000, 0.222768, 0.000000, -0.002462, -0.000000, 0.113281, 0.011028
4, 0.000000, -1.330000, 0.300000, 0.232162, 0.000000, 0.015745, 0.000000, 0.115180, 0.012768
5, 0.000000, -1.250000, 0.300000, 0.240070, 0.000000, 0.034645, 0.000000, 0.116342, 0.014427
6, 0.000000, -1.170000, 0.300000, 0.246443, 0.000000, 0.054116, -0.000000, 0.116760, 0.015993
7, 0.000000, -1.090000, 0.300000, 0.251240, 0.000000, 0.074034, -0.000000, 0.116431, 0.017457
8, 0.000000, -1.010000, 0.300000, 0.254430, 0.000000, 0.094271, 0.000000, 0.115358, 0.018809
9, 0.000000, -0.930000, 0.300000, 0.255992, 0.000000, 0.114699, 0.000000, 0.113546, 0.020041
10, 0.000000, -0.850000, 0.300000, 0.255916, 0.000000, 0.135186, 0.000000, 0.111008, 0.021144
11, 0.000000, -0.770000, 0.300000, 0.254204, 0.000000, 0.155602, -0.000000, 0.107760, 0.022113
12, 0.000000, -0.690000, 0.300000, 0.250865, 0.000000, 0.175815, 0.000000, 0.103823, 0.022939
13, 0.000000, -0.610000, 0.300000, 0.245922, 0.000000, 0.195697, -0.000000, 0.099222, 0.023620
14, 0.000000, -0.530000, 0.300000, 0.239406, 0.000000, 0.215121, -0.000000, 0.093986, 0.024149
15, 0.000000, -0.450000, 0.300000, 0.231358, 0.000000, 0.233961, -0.000000, 0.088149, 0.024523
16, 0.000000, -0.370000, 0.300000, 0.221831, 0.000000, 0.252099, -0.000000, 0.081748, 0.024741
17, 0.000000, -0.290000, 0.300000, 0.210884, 0.000000, 0.269417, 0.000000, 0.074824, 0.024801
18, 0.000000, -0.210000, 0.300000, 0.198589, 0.000000, 0.285804, 0.000000, 0.067421, 0.024701
19, 0.000000, -0.130000, 0.300000, 0.185023, 0.000000, 0.301157, 0.000000, 0.059587, 0.024444
20, 0.000000, -0.050000, 0.300000, 0.170274, 0.000000, 0.315376, -0.000000, 0.051372, 0.024031
21, 0.000000, 0.030000, 0.300000, 0.154436, 0.000000, 0.328372, -0.000000, 0.042829, 0.023464
22, 0.000000, 0.110000, 0.300000, 0.137610, 0.000000, 0.340060, -0.000000, 0.034011, 0.022746
23, 0.000000, 0.190000, 0.300000, 0.119903, 0.000000, 0.350366, 0.000000, 0.024976, 0.021883
24, 0.000000, 0.270000, 0.300000, 0.101430, 0.000000, 0.359224, -0.000000, 0.015781, 0.020881
25, 0.000000, 0.350000, 0.300000, 0.082307, 0.000000, 0.366577, -0.000000, 0.006485, 0.019744
26, 0.000000, 0.430000, 0.300000, 0.062659, 0.000000, 0.372379, -0.000000, -0.002852, 0.018482
27, 0.000000, 0.510000, 0.300000, 0.042609, 0.000000, 0.376592, -0.000000, -0.012171, 0.017101
28, 0.000000, 0.590000, 0.300000, 0.022287, 0.000000, 0.379189, -0.000000, -0.021412, 0.015611
29, 0.000000, 0.670000, 0.300000, 0.001822, 0.000000, 0.380154, -0.000000, -0.030517, 0.014020
30, 0.000000, 0.750000, 0.300000, -0.018654, -0.000000, 0.379480, 0.000000, -0.039426, 0.012341
31, 0.000000, 0.830000, 0.300000, -0.039011, -0.000000, 0.377173, 0.000000, -0.048082, 0.010582
32, 0.000000, 0.910000, 0.300000, -0.059118, -0.000000, 0.373245, -0.000000, -0.056432, 0.008756
33, 0.000000, 0.990000, 0.300000, -0.078848, -0.000000, 0.367724, -0.000000, -0.064420, 0.006873
34, 0.000000, 1.070000, 0.300000, -0.098073, -0.000000, 0.360643, 0.000000, -0.071996, 0.004947
35, 0.000000, 1.150000, 0.300000, -0.116670, -0.000000, 0.352049, -0.000000, -0.079112, 0.002989
36, 0.000000, 1.230000, 0.300000, -0.134521, -0.000000, 0.341996, 0.000000, -0.085722, 0.001012
37, 0.000000, 1.310000, 0.300000, -0.151512, -0.000000, 0.330548, -0.000000, -0.091783, -0.000972
38, 0.000000, 1.390000, 0.300000, -0.167534, -0.000000, 0.317780, -0.000000, -0.097257, -0.002949
39, 0.000000, 1.470000, 0.300000, -0.182484, -0.000000, 0.303771, 0.000000, -0.102109, -0.004908
40, 0.000000, 1.550000, 0.300000, -0.196267, -0.000000, 0.288613, -0.000000, -0.106308, -0.006835
