Numer pomiaru, q1, q2, q3, x, y, z, u1, u2, u3
1, 0.000000, -1.570000, -1.000000, 0.008705, 0.000000, 0.033236, 0.000000, 0.079118, -0.020859
2, 0.000000, -1.490000, -1.000000, 0.015931, 0.000000, 0.034222, 0.000000, 0.081719, -0.019720
3, 0.000000, -1.410000, -1.000000, 0.023054, 0.000000, 0.035782, 0.000000, 0.083797, -0.018455
4, 0.000000, -1.330000, -1.000000, 0.030030, 0.000000, 0.037907, 0.000000, 0.085339, -0.017072
5, 0.000000, -1.250000, -1.000000, 0.036815, 0.000000, 0.040582, -0.000000, 0.086335, -0.015580
6, 0.000000, -1.170000, -1.000000, 0.043363, 0.000000, 0.043791, 0.000000, 0.086779, -0.013988
7, 0.000000, -1.090000, -1.000000, 0.049634, 0.000000, 0.047513, 0.000000, 0.086668, -0.012306
8, 0.000000, -1.010000, -1.000000, 0.055588, 0.000000, 0.051724, -0.000000, 0.086003, -0.010546
9, 0.000000, -0.930000, -1.000000, 0.061186, 0.000000, 0.056397, -0.000000, 0.084787, -0.008719
10, 0.000000, -0.850000, -1.000000, 0.066393, 0.000000, 0.061503, 0.000000, 0.083029, -0.006835
11, 0.000000, -0.770000, -1.000000, 0.071175, 0.000000, 0.067009, 0.000000, 0.080740, -0.004908
12, 0.000000, -0.690000, -1.000000, 0.075502, 0.000000, 0.072879, -0.000000, 0.077934, -0.002949
13, 0.000000, -0.610000, -1.000000, 0.079346, 0.000000, 0.079076, 0.000000, 0.074630, -0.000972
14, 0.000000, -0.530000, -1.000000, 0.082682, 0.000000, 0.085561, -0.000000, 0.070849, 0.001012
15, 0.000000, -0.450000, -1.000000, 0.085489, 0.000000, 0.092291, 0.000000, 0.066614, 0.002989
16, 0.000000, -0.370000, -1.000000, 0.087750, 0.000000, 0.099225, -0.000000, 0.061953, 0.004947
17, 0.000000, -0.290000, -1.000000, 0.089449, 0.000000, 0.106316, -0.000000, 0.056896, 0.006873
18, 0.000000, -0.210000, -1.000000, 0.090576, 0.000000, 0.113521, 0.000000, 0.051475, 0.008756
19, 0.000000, -0.130000, -1.000000, 0.091124, 0.000000, 0.120793, -0.000000, 0.045725, 0.010582
20, 0.000000, -0.050000, -1.000000, 0.091089, 0.000000, 0.128085, -0.000000, 0.039682, 0.012341
21, 0.000000, 0.030000, -1.000000, 0.090471, 0.000000, 0.135352, -0.000000, 0.033385, 0.014020
22, 0.000000, 0.110000, -1.000000, 0.089274, 0.000000, 0.142545, 0.000000, 0.026875, 0.015611
23, 0.000000, 0.190000, -1.000000, 0.087507, 0.000000, 0.149620, -0.000000, 0.020193, 0.017101
24, 0.000000, 0.270000, -1.000000, 0.085180, 0.000000, 0.156532, 0.000000, 0.013382, 0.018482
25, 0.000000, 0.350000, -1.000000, 0.082307, 0.000000, 0.163235, 0.000000, 0.006485, 0.019744
26, 0.000000, 0.430000, -1.000000, 0.078909, 0.000000, 0.169687, -0.000000, -0.000453, 0.020881
27, 0.000000, 0.510000, -1.000000, 0.075005, 0.000000, 0.175847, 0.000000, -0.007388, 0.021883
28, 0.000000, 0.590000, -1.000000, 0.070622, 0.000000, 0.181675, -0.000000, -0.014277, 0.022746
29, 0.000000, 0.670000, -1.000000, 0.065787, 0.000000, 0.187134, -0.000000, -0.021073, 0.023464
30, 0.000000, 0.750000, -1.000000, 0.060531, 0.000000, 0.192189, -0.000000, -0.027735, 0.024031
31, 0.000000, 0.830000, -1.000000, 0.054889, 0.000000, 0.196809, 0.000000, -0.034220, 0.024444
32, 0.000000, 0.910000, -1.000000, 0.048894, 0.000000, 0.200962, 0.000000, -0.040486, 0.024701
33, 0.000000, 0.990000, -1.000000, 0.042588, 0.000000, 0.204624, 0.000000, -0.046493, 0.024801
34, 0.000000, 1.070000, -1.000000, 0.036008, 0.000000, 0.207769, -0.000000, -0.052202, 0.024741
35, 0.000000, 1.150000, -1.000000, 0.029199, 0.000000, 0.210379, 0.000000, -0.057577, 0.024523
36, 0.000000, 1.230000, -1.000000, 0.022203, 0.000000, 0.212436, 0.000000, -0.062584, 0.024149
37, 0.000000, 1.310000, -1.000000, 0.015064, 0.000000, 0.213927, 0.000000, -0.067191, 0.023620
38, 0.000000, 1.390000, -1.000000, 0.007830, 0.000000, 0.214844, -0.000000, -0.071368, 0.022939
39, 0.000000, 1.470000, -1.000000, 0.000545, 0.000000, 0.215179, -0.000000, -0.075089, 0.022113
40, 0.000000, 1.550000, -1.000000, -0.006743, -0.000000, 0.214931, -0.000000, -0.078329, 0.021144
